Date;hash_rate;active_addre;tran_sec;tran_num;block_size;rev_all_miners;block_reward;size_tran;trans_fees;US_bank_idx
2016-04-06;1.29770379676247e+18;478871;2.536261574074074;219133;110910583;3983.44875393;3924.999999999996;110869317;58.44875393;285.55
2016-04-07;1.16654872646865e+18;446187;2.526898148148148;218324;105395795;3519.73522886;3475.000000000004;105360982;44.73522886;277.64
2016-04-08;1.19309922499907e+18;440780;2.477395833333333;214047;103400020;3643.53738918;3600.000000000004;103367577;43.53738918;279.08
2016-04-09;1.35760329353078e+18;423703;2.271747685185185;196279;102912904;4086.54361898;4049.999999999997;102876236;36.54361898;
2016-04-10;1.40132892687817e+18;435393;2.16181712962963;186781;95720814;4358.25339902;4325.000000000005;95677337;33.25339902;
2016-04-11;1.26016451899455e+18;477737;2.6607291666666666;229887;117958509;3875.11203705;3825.000000000002;117923252;50.11203705;280.89
2016-04-12;1.23349993998779e+18;511753;2.778449074074074;240058;123680686;3750.75962758;3700.0000000000023;123647577;50.75962758;285.98
2016-04-13;1.35786549155851e+18;495146;2.584976851851852;223342;115991452;4145.74314812;4100.000000000001;115953964;45.74314812;296.68
2016-04-14;1.4183872297862e+18;470238;2.6361574074074072;227764;117140660;4144.86320501;4099.999999999999;117103101;44.86496577;299.45
2016-04-15;1.2404329417487e+18;436651;2.454155092592593;212039;110168493;3519.6735473200006;3474.9999999999973;110133002;44.67354732;297.27
2016-04-16;1.24135376012712e+18;409216;2.104930555555556;181866;93112976;3484.12321152;3449.999999999999;93081038;34.12321152;
2016-04-17;1.3788973900518e+18;477960;2.225347222222222;192270;104167997;3984.28061725;3950.000000000005;104127660;34.28061725;
2016-04-18;1.19373084202109e+18;478489;2.549317129629629;220261;112242252;3397.3304297700006;3350.000000000001;112211684;47.33042977;299.71
2016-04-19;1.32706904605819e+18;480057;2.6199189814814816;226361;112480000;3793.48327587;3749.999999999997;112445005;43.48327587;304.85
2016-04-20;1.47057529194004e+18;465306;2.5071180555555554;216615;114992771;4168.21507171;4124.9999999999945;114949692;43.21507171;310.12
2016-04-21;1.3408162068977e+18;477570;2.4611574074074074;212644;110500359;3817.82120266;3774.999999999996;110464864;42.82120266;308.3
2016-04-22;1.25229026813832e+18;440126;2.4401967592592597;210833;110812430;3617.68874359;3574.999999999998;110778569;42.68874359;311.63
2016-04-23;1.28291948112856e+18;434639;2.142037037037037;185072;94271233;3633.15097021;3600.000000000005;94232571;33.15097021;
2016-04-24;1.16776691040506e+18;457449;2.11832175925926;183023;96101254;3333.2686545600004;3300.000000000001;96067116;33.26865456;
2016-04-25;1.14070717427698e+18;495014;2.5166319444444443;217437;111059607;3218.29847026;3174.9999999999955;111029840;43.29847026;309.9
2016-04-26;1.31487621333409e+18;524703;2.9003819444444443;250593;122790133;4112.755573820001;3774.999999999997;122753661;337.75639818;312.65
2016-04-27;1.16663157955306e+18;471927;2.7697453703703703;239306;112919288;3271.1114997100003;3225.0;112889081;46.11149971;312.91
2016-04-28;1.20017723135556e+18;460490;2.868310185185185;247822;121159767;3424.62034503;3375.0000000000005;121128025;49.62034503;309.4
2016-04-29;1.36850997542872e+18;516576;3.029236111111111;261726;128429899;3999.9195874;3950.000000000001;128388422;49.9195874;306.89
2016-04-30;1.31561279680645e+18;440355;2.494976851851852;215566;110602082;3690.87923127;3649.999999999997;110567364;40.87923127;
2016-05-01;1.37367645768106e+18;431028;2.2138310185185186;191275;96986228;3909.5028110500007;3875.000000000004;96949614;34.50281105;
2016-05-02;1.37078796238175e+18;483597;2.588287037037037;223628;117920419;3970.13159943;3924.999999999997;117881728;45.13159943;309.68
2016-05-03;1.3400995357308e+18;466127;2.725208333333333;235458;117512680;3819.86828296;3774.999999999999;117477124;44.86828296;303.72
2016-05-04;1.47528875751519e+18;499184;2.702824074074074;233524;118077259;4222.16983445;4174.999999999999;118037826;47.17178574;298.06
2016-05-05;1.37771813336653e+18;457948;2.655300925925926;229418;109201332;3919.25619976;3875.0000000000023;109164611;44.25619976;296.88
2016-05-06;1.43717415365308e+18;454712;2.6975694444444445;233070;111114063;4094.519552;4050.0000000000023;111076063;44.519552;297.96
2016-05-07;1.32836707585975e+18;418984;2.3369444444444443;201912;96978383;3787.61683514;3750.0;96939904;37.61683514;
2016-05-08;1.48518292187453e+18;440122;2.1858449074074078;188857;97130052;4234.737713269999;4199.999999999998;97090459;34.73771327;
2016-05-09;1.51498538804042e+18;485970;2.618958333333333;226278;109139567;4315.4654474;4274.999999999998;109099743;40.4654474;296.19
2016-05-10;1.40462770516001e+18;495890;2.842164351851852;245563;114851619;3998.10185732;3950.000000000004;114814599;48.10185732;301.07
2016-05-11;1.25825151475836e+18;471605;2.7115625;234279;108131098;3370.8856670899995;3324.9999999999995;108096056;45.88566709;299.43
2016-05-12;1.36289638068512e+18;453460;2.642013888888889;228270;108419162;3521.7523899400003;3475.0000000000023;108380809;46.75238994;298.64
2016-05-13;1.43558096438201e+18;458960;2.685115740740741;231994;115929473;3847.58216903;3799.999999999998;115888037;47.58216903;293.75
2016-05-14;1.38607035729846e+18;459057;2.4437037037037035;211136;116977382;3648.00318276;3599.999999999999;116943529;48.00318276;
2016-05-15;1.33866878979669e+18;424158;2.315185185185185;200032;108099877;3520.6135957700003;3475.0000000000005;108067232;45.61359577;
2016-05-16;1.36042709928408e+18;511723;2.773935185185185;239668;127853664;3585.51568467;3525.0;127820542;60.51568467;295.63
2016-05-17;1.37298645124698e+18;479746;2.760243055555556;238485;122378517;3583.4408726;3525.0;122344773;58.4408726;294.72
2016-05-18;1.47736990569633e+18;510825;2.719097222222222;234930;133680961;3883.26811656;3825.000000000002;133633077;58.26811656;305.77
2016-05-19;1.1537940606517e+18;460695;2.535011574074074;219025;114657897;3054.9896895700003;3000.0000000000045;114628670;54.98968957;302.96
2016-05-20;1.446328686472e+18;444368;2.4218402777777777;209247;116467085;3776.58622819;3724.999999999997;116432372;51.58622819;304.14
2016-05-21;1.3433233088885e+18;503197;2.214351851851852;191320;125672941;3581.82664163;3525.000000000004;125639840;56.82664163;
2016-05-22;1.77239857803849e+18;445646;2.131527777777778;184164;111059049;4643.20770201;4599.999999999996;111016076;43.20770201;
2016-05-23;1.73294781949452e+18;516358;2.576087962962963;222574;116328686;4554.73645083;4499.999999999996;116276197;54.73645083;303.72
2016-05-24;1.42878065835523e+18;515715;2.8515046296296296;246370;124945206;3734.53134626;3675.0;124904083;59.53134626;308.43
2016-05-25;1.36366985675451e+18;492132;2.8669328703703703;247703;120134308;3509.87550803;3449.999999999997;120102190;59.87550803;314.3
2016-05-26;1.32774089299684e+18;460119;2.545787037037037;219956;110764673;3430.6565160500004;3374.999999999999;110728987;55.65651605;311.61
2016-05-27;1.3796831644234e+18;529629;2.490243055555556;215157;131790156;3545.89209327;3475.0000000000045;131757073;70.89209327;314.24
2016-05-28;1.31102290296354e+18;481777;2.2328819444444443;192921;114827512;3377.3418092600004;3325.000000000004;114785975;52.34180926;
2016-05-29;1.46035935576008e+18;427677;2.06707175925926;178595;99971510;3722.98546674;3674.999999999999;99927931;47.98546674;
2016-05-30;1.41873455052259e+18;548428;2.444722222222222;211224;128410926;3657.85196125;3599.9999999999945;128367792;57.85196125;
2016-05-31;1.26211041562583e+18;477702;2.489837962962963;215122;110111538;3227.33924442;3174.9999999999995;110081286;52.33924442;313.48
2016-06-01;1.40653495357467e+18;508349;2.711122685185185;234241;120021558;3631.1849778299993;3574.9999999999973;119987726;56.18497783;315.06
2016-06-02;1.36205040839352e+18;478264;2.673159722222222;230961;114103699;3508.53519721;3450.0;114065640;58.53519721;316.0
2016-06-03;1.39645836465089e+18;495826;2.7144328703703704;234527;118223299;3604.69656979;3549.999999999996;118175696;54.69656979;308.97
2016-06-04;1.18046953586691e+18;447381;2.274837962962963;196546;100026165;3021.44371282;2974.999999999995;99992334;46.44371282;
2016-06-05;1.67406646723365e+18;463360;2.1948148148148148;189632;103908376;4294.1682783100005;4250.0;103868709;44.16827831;
2016-06-06;1.68781283195265e+18;511057;2.5578819444444445;221001;119927707;4302.13956486;4250.000000000002;119887835;52.13956486;312.04
2016-06-07;1.38743715074586e+18;510788;2.672175925925926;230876;112504403;3552.51815706;3500.0;112471464;52.51815706;310.12
2016-06-08;1.46258986912769e+18;482252;2.6595949074074072;229789;115522564;3650.40981971;3599.9999999999955;115488759;50.40981971;310.47
2016-06-09;1.56015553669692e+18;525133;2.733657407407408;236188;118902480;4178.21550949;4124.999999999997;118863423;53.21550949;306.53
2016-06-10;1.38978964070178e+18;506014;2.6414699074074077;228223;118461966;3652.81223012;3600.0;118428269;52.81223012;301.34
2016-06-11;1.52853789224196e+18;466106;2.4653125;213003;108594845;3946.24529278;3899.999999999997;108557641;46.24529278;
2016-06-12;1.4110977315484e+18;519537;2.4370949074074075;210565;121186940;3702.42482099;3650.000000000002;121151604;52.42482099;
2016-06-13;1.57319109304354e+18;577237;2.907326388888889;251193;147412043;4088.87453511;4024.9999999999977;147360058;63.87453511;297.96
2016-06-14;1.28038677738696e+18;526640;2.855289351851852;246697;126086432;3369.0450938900003;3299.9999999999964;126055931;69.04509389;291.43
2016-06-15;1.49200080875943e+18;594504;2.998263888888889;259050;139406854;3883.38614703;3799.999999999997;139371304;83.38614703;291.72
2016-06-16;1.4628774169032e+18;582321;3.098622685185185;267721;142697854;3807.29665972;3724.999999999998;142662760;82.29665972;291.26
2016-06-17;1.43531542475485e+18;586033;2.9352199074074075;253603;138682307;3803.90209509;3725.000000000005;138642771;78.90209509;292.04
2016-06-18;1.53527226554993e+18;561720;2.721747685185185;235159;137101008;4020.57830565;3949.999999999996;137063218;70.57830565;
2016-06-19;1.72411133127687e+18;514828;2.5245486111111117;218121;127990039;4488.14349102;4424.999999999998;127944309;63.14349102;
