roy_final
time;open;high;low;close;Upper Bollinger;Lower Bollinger;Upper Donchian;Lower Donchian;Volume;Red Arrow;Green Arrow;RSI;Put-call Ratio;Detrended Price Oscillator
1533513600;7028.89;7157.93;6835.06;6936.11;8539.397972398747;6787.043027601253;8496.96;6835.06;7317.64296455;0;0;40.60528804108801;902;-97.27095238095262
1533600000;6932.18;7155;6671;6717.68;8592.415157168241;6668.305842831758;8496.96;6671;10039.39296375;0;0;37.02822063576194;0.92;-391.24952380952345
1533686400;6717.67;6717.68;6121;6283.59;8697.532580858198;6444.405419141802;8496.96;6121;14668.56100283;0;0;31.154452138758984;947;-895.7085714285722
1533772800;6283.89;6627;6190.01;6543.76;8740.932919763083;6322.297080236916;8496.96;6121;9484.88670496;0;0;37.54867486687821;851;-707.4500000000016
1533859200;6544.98;6584.05;5995.75;6139.99;8821.146475516804;6115.0905244831965;8496.96;5995.75;14096.00988894;0;0;32.50322527395792;1.204;-1182.3371428571445
1533945600;6139.99;6494.13;6000;6239.98;8865.604943087606;5954.970056912394;8496.96;5995.75;6818.37504816;0;0;34.83832119644124;1.204;-1150.2504761904775
1534032000;6240.49;6493.77;6163.44;6310.82;8863.24177705208;5816.45322294792;8496.96;5995.75;7169.89323056;0;0;36.51405849637832;1.204;-1137.601428571429
1534118400;6311.99;6544.37;6142.2;6252.63;8743.72725578089;5720.847744219111;8475;5995.75;8896.68083746;0;0;35.70186581226068;1.085;-1257.3385714285723
1534204800;6252.63;6254.02;5880;6193.62;8644.426529202074;5622.104470797925;8314.23;5880;14235.27018218;1;0;34.85516866653988;0.91;-1373.5576190476195
1534291200;6194.3;6628.5;6186.02;6272.3;8560.15896441286;5541.002035587138;8299.99;5880;12501.11334781;0;0;37.00051590399056;1.166;-1331.3542857142866
1534377600;6273.34;6477.57;6208.37;6313.51;8404.871607402247;5509.335392597753;8299.99;5880;7099.2611636;0;0;38.14942149821266;941;-1322.6828571428578
1534464000;6314.08;6584.49;6290.64;6580.15;8204.250039570683;5544.197960429316;8299.99;5880;6635.58158998;0;0;45.12284881282129;1.025;-1066.2842857142869
1534550400;6578.13;6615;6303;6399.28;7975.232779370783;5591.469220629217;8295;5880;3496.80232127;0;0;41.68922833613679;1.025;-1218.9147619047635
1534636800;6397.37;6545;6312;6481.99;7715.035146502821;5683.8448534971785;8162.37;5880;3138.71131829;0;0;43.795446936054226;1.025;-1084.2385714285738
1534723200;6481.63;6522.99;6223.9;6260.82;7541.5941633732955;5710.824836626704;7761.56;5880;6254.82080784;0;0;39.66915040575228;796;-1261.2342857142885
1534809600;6260.83;6513.28;6246.05;6479.27;7369.5751898235585;5770.56981017644;7709.98;5880;5655.04172504;0;0;45.16459739516951;812;-986.0771428571443
1534896000;6478.99;6906.81;6250;6355.76;7180.150323923761;5841.933676076238;7542.92;5880;11955.65069577;0;0;42.791291427379;956;-1053.8757142857157
1534982400;6355.97;6575.99;6344.8;6525.01;6991.461721941976;5941.425278058023;7494.48;5880;4028.43387247;0;0;46.9084028224757;1.031;-832.9219047619081
1535068800;6525.99;6721.09;6445.32;6692.94;6925.786222741308;5975.395777258689;7157.93;5880;6374.54257854;0;0;50.69950952090423;925;-595.1352380952403
1535155200;6692.99;6800;6664.25;6732.4;6851.565209453586;6019.59579054641;7157.93;5880;4980.64928331;0;0;51.57454844560709;925;-450.42714285714555
1535241600;6732.99;6775.34;6558.95;6700.46;6793.140988432457;6054.455011567539;7155;5880;3475.7202496;0;0;50.788758899280694;925;-391.80714285714475
1535328000;6700.13;6944.47;6641.35;6904.51;6839.35208968575;6026.926910314245;6944.47;5880;5863.68824836;0;0;55.45781119057061;738;-110.97190476190735
1535414400;6911.7;7125.28;6861.17;7080.94;6960.96917554664;5985.044824453355;7125.28;5880;8222.24765235;0;0;59.07348851686832;0.81;141.78666666666504
1535500800;7079.46;7124.06;6890;7032.96;7042.831275878185;5952.102724121813;7125.28;5880;5730.97892652;0;0;57.7017245293643;848;181.35238095237946
1535587200;7034.47;7055.97;6792.85;6984.01;7098.313999595554;5981.022000404445;7125.28;5880;6875.26197217;0;0;56.26619715550937;822;215.00952380952185
1535673600;6984.34;7101.03;6879;7017.35;7156.217857541616;6000.855142458383;7125.28;5880;5790.38050638;0;0;57.049958527990924;1.027;338.79666666666435
1535760000;7015.78;7300.18;7015.22;7185.01;7242.972401610357;6001.519598389641;7300.18;5880;4590.45724112;0;0;60.849669756772414;1.027;565.7976190476165
1535846400;7195.8;7334.5;7130.63;7290.31;7334.790405927391;6013.469594072608;7334.5;5880;3297.68658519;0;0;63.060049570828205;1.027;730.4428571428552
1535932800;7291.94;7340.08;7184;7258.99;7396.245501556551;6058.551498443446;7340.08;6186.02;2829.87707292;0;0;61.939889803878806;1.027;747.2828571428536
1536019200;7261.29;7411.85;7231;7361;7470.579373171783;6093.0876268282145;7411.85;6208.37;4531.14780379;0;1;64.17218518419389;852;883.7709523809499
1536105600;7353.48;7387;6650;6679.3;7456.834579130527;6143.411420869472;7411.85;6223.9;12408.79698551;0;0;45.12489947182061;0.99;215.28952380951978
1536192000;6671.95;6705.59;6253.29;6493.09;7459.3741984497665;6132.165801550233;7411.85;6223.9;14674.0236716;0;0;41.50128334096135;1.055;44.89619047618635
1536278400;6488.01;6525;6322;6400;7459.324230025485;6132.287769974514;7411.85;6223.9;6541.96747088;0;0;39.781431417929326;1.174;-46.68904761905196
1536364800;6401.01;6465.46;6113.23;6178.31;7484.822533785788;6076.4214662142085;7411.85;6113.23;4284.19484304;0;0;35.959595130931845;1.174;-285.6771428571474
1536451200;6178.31;6451.51;6094.38;6236.04;7487.31473286992;6071.451267130078;7411.85;6094.38;4104.31379555;1;0;37.63971362395309;1.174;-263.6314285714334
1536537600;6238.99;6351.13;6223.9;6301.99;7497.4442431689295;6043.593756831067;7411.85;6094.38;5371.72530672;0;0;39.58953987262303;1.158;-218.6457142857189
1536624000;6303.99;6405;6162.06;6279.99;7502.9924320453265;6030.468567954673;7411.85;6094.38;7076.79725968;0;0;39.14978590412204;876;-282.42476190476737
1536710400;6274.6;6350;6192.89;6322.45;7511.2299574617355;6001.975042538263;7411.85;6094.38;4282.14044437;0;0;40.5229447028298;822;-284.96619047619606
1536796800;6326.83;6537.46;6324.37;6485.7;7509.719488249976;5982.76151175002;7411.85;6094.38;6985.34747474;0;0;45.60538669549892;837;-168.3585714285764
1536883200;6482.95;6587;6384.36;6476.51;7505.947110171493;5960.944889828505;7411.85;6094.38;4598.02098322;0;0;45.37034653591857;828;-225.47047619048135
1536969600;6476.51;6570.1;6466.74;6520.15;7502.449953316657;5946.411046683342;7411.85;6094.38;1328.81956289;0;0;46.77319336850567;828;-237.42000000000553
1537056000;6521.49;6524.84;6349.47;6499.98;7483.477831625413;5924.930168374586;7411.85;6094.38;1098.62806031;0;0;46.18289873026903;828;-276.9709523809588
1537142400;6499.28;6530.24;6200;6254.52;7445.503688280159;5880.262311719841;7411.85;6094.38;4386.88772482;0;0;39.6284209001703;929;-530.9823809523859
1537228800;6251.49;6390;6226.63;6332.34;7403.768745317481;5851.93525468252;7411.85;6094.38;4196.47314808;0;0;42.418613658012845;829;-444.58380952381503
1537315200;6330;6510;6100;6388.4;7362.660952458724;5833.482047541276;7411.85;6094.38;7232.08338006;0;0;44.41172437397633;0.95;-378.0014285714342
1537401600;6388.4;6535.11;6333.63;6492.98;7312.729065482008;5830.976934517992;7411.85;6094.38;5177.64510387;0;0;48.02595648752533;891;-261.70952380952895
1537488000;6492.98;6775.34;6483.83;6749.45;7241.534367439732;5858.615632560268;7411.85;6094.38;8569.98587321;0;0;55.642718374632715;975;-7.200000000005275
1537574400;6748.85;6826.28;6624.79;6710.01;7129.562132880496;5912.557867119504;7411.85;6094.38;5491.80951385;0;0;54.324271004519325;975;-37.15047619048164
1537660800;6710.01;6774.91;6659;6702.22;7007.838415317708;5978.604584682292;7411.85;6094.38;3248.80491931;0;0;54.05184396648708;975;-43.35428571429111
1537747200;6703.37;6721.68;6550.96;6581.52;6785.466610009024;6123.028389990975;7387;6094.38;4030.72562001;0;0;49.878145276046205;978;-162.18238095238576
1537833600;6578.7;6579.59;6324.96;6428.99;6756.497643906894;6126.966356093106;6826.28;6094.38;8206.61700477;0;0;45.13509603833284;883;-304.40619047619657
1537920000;6428.09;6540;6379.44;6461.51;6754.1882570080425;6126.117742991958;6826.28;6094.38;4295.92674134;0;0;46.307403934312404;874;-261.779047619053
1538006400;6454.32;6736.85;6431.95;6681.62;6784.633537130637;6123.834462869362;6826.28;6094.38;5664.85211251;0;0;53.54296878436244;0.94;-32.122380952386266
1538092800;6684.5;6792.28;6525.67;6610.76;6787.251732929362;6164.461267070637;6826.28;6094.38;7642.04936428;0;0;51.15308950388556;1.067;-72.03047619048175
1538179200;6609.02;6609.02;6454;6579.38;6787.011934825522;6199.035065174477;6826.28;6100;3382.01592212;0;0;50.08690062226179;1.067;-67.76285714286223
1538265600;6574.29;6628.06;6510;6597.81;6791.454038109908;6224.174961890089;6826.28;6100;2482.69507513;0;0;50.73635094563737;1.067;-18.639523809529237
1538352000;6597.79;6638.15;6477.57;6571.2;6786.999448417366;6257.750551582632;6826.28;6100;4753.14698891;0;0;49.73021660446505;1.015;-21.867142857148792
