timestamp,bitcoin-aggregate-security-spend-thermocap-usd,bitcoin-balanced-price-usd,bitcoin-block-height,bitcoin-circulating-supply-btc,bitcoin-cumulative-value-days-destroyed-cvdd,bitcoin-delta-cap-usd,bitcoin-investor-capitalization,bitcoin-market-cap-usd,bitcoin-market-value-to-realized-value-ratio-mvrv,bitcoin-median-value-of-created-utxos-btc,bitcoin-median-value-of-spent-utxos-btc,bitcoin-mining-difficulty,bitcoin-mvrv-z-score,bitcoin-number-of-addresses-with-balance-0-1,bitcoin-number-of-addresses-with-balance-0-01,bitcoin-number-of-addresses-with-balance-1,bitcoin-number-of-addresses-with-balance-1k,bitcoin-number-of-addresses-with-balance-10,bitcoin-number-of-addresses-with-balance-10k,bitcoin-number-of-addresses-with-balance-100,bitcoin-number-of-addresses,bitcoin-number-of-utxos-in-profit,bitcoin-percent-of-supply-last-active-3-years-ago,bitcoin-price-drawdown-from-ath,bitcoin-realized-cap-usd,bitcoin-realized-price-usd,bitcoin-relative-unrealized-profit,bitcoin-stock-to-flow-ratio-usd,bitcoin-total-supply-last-active-3y-5y-btc,bitcoin-total-supply-last-active-5y-7y-btc
2016-01-12,1519564935.898504,235.78566377122192,393071.0,15076800.0,171.660530832342,2174628349.378506,3065291544.641506,6565728553.924514,1.432046691492335,0.01584357,0.02238839,4.4616266649971694e+20,0.71319198940552,1240146.0,2420027.0,519856.0,1737.0,139553.0,105.0,16816.0,117960074.0,27668218.0,0.234587915539131,-0.6254344257227293,4584856480.54001,304.1001061591326,0.41138781050079,409.449487114957,1517695.719001,2000460.36599944
2016-01-13,1521158581.2480977,235.5622543133477,393219.0,15080500.0,171.920054161405,2171638711.4066896,3062758319.8927727,6524695686.522339,1.4233887365843034,0.0294,0.02677448,4.86853010508298e+20,0.677008103402246,1240630.0,2424142.0,519977.0,1741.0,139498.0,105.0,16817.0,118183244.0,27524895.0,0.234709786230682,-0.6278666183790657,4583916901.14087,303.9631909512861,0.409742509734149,409.279733586968,1519177.46206796,1996173.46918393
2016-01-14,1522592895.334375,235.59726376959716,393352.0,15083825.0,171.920544727481,2170924019.6110287,3062638270.2099547,6486422237.568216,1.4146336364260903,0.02395536,0.02516766,4.86853010508298e+20,0.66278670352438,1244096.0,2430573.0,521643.0,1744.0,139759.0,105.0,16836.0,118407117.0,27091178.0,0.234954928395247,-0.6301310790318781,4585231165.54433,303.9833175964538,0.407542677994682,409.908392372736,1521279.46618707,1992574.55661445
2016-01-15,1523816546.3843248,234.88385400460837,393474.0,15086875.0,172.275325972284,2161488176.058006,3053498754.3351545,5467944410.83219,1.194574559889444,0.02925594,0.03232253,4.86853010508298e+20,0.310439851252372,1246464.0,2439042.0,521232.0,1742.0,139522.0,105.0,16831.0,118628014.0,24483582.0,0.235045995984922,-0.6882697784523906,4577315300.71948,303.3971780583772,0.363293784117436,410.942735825071,1522878.03859377,1988316.52208133
2016-01-16,1525134155.431351,234.45847960540704,393616.0,15090425.0,172.396946318711,2154920169.088144,3047325624.5803394,5857924511.4277,1.2811319931200629,0.0111,0.01608104,4.86853010508298e+20,0.448017510916408,1242614.0,2435913.0,520540.0,1738.0,139481.0,105.0,16816.0,118882076.0,25786978.0,0.235029723342886,-0.6661153839288483,4572459780.01169,303.0040426304554,0.37910934830414,411.214521355179,1521050.66079532,1986182.75208133
2016-01-17,1526583285.7022312,234.49701534252077,393767.0,15094200.0,172.416654746139,2154861502.9705777,3047461491.757679,5722947041.719986,1.251178622019982,0.0053,0.01211,4.86853010508298e+20,0.40036388439205,1247839.0,2444927.0,520446.0,1741.0,139039.0,105.0,16832.0,119128878.0,25289699.0,0.235121204008041,-0.673890285280859,4574044777.45991,303.03326956446256,0.372841577170551,411.254167440047,1522735.85545691,1982065.62208133
2016-01-18,1528232053.7895772,234.2827581795528,393940.0,15098525.0,172.447672224943,2151140619.8157263,3043778061.0030127,5811858895.402251,1.2711824229343174,0.0207344,0.01845609,4.86853010508298e+20,0.431988887134437,1256916.0,2456000.0,524792.0,1733.0,139039.0,104.0,16822.0,119381860.0,25932156.0,0.235164281028065,-0.6689187023099208,4572010114.79259,302.811706096628,0.376859348264879,411.169820892125,1523818.78412801,1977899.99208133
2016-01-19,1529501798.726922,234.20572743970453,394073.0,15101850.0,172.574163318138,2149891306.093609,3042882946.1172075,5689868311.347633,1.2443984110837545,0.02883247,0.02,4.86853010508298e+20,0.389306085091562,1258409.0,2459261.0,524673.0,1737.0,138447.0,104.0,16864.0,119592591.0,24911792.0,0.235107314088481,-0.6759394443886939,4572384744.84413,302.7698424262014,0.370428672574125,411.775543664024,1522680.84918588,1974259.54208133
2016-01-20,1530987461.0021768,234.4976430894705,394225.0,15105650.0,172.65417548102,2153729438.723532,3047176914.218404,6332669900.256909,1.383233405627074,0.01837595,0.010388,4.86853010508298e+20,0.612875475245337,1259440.0,2461670.0,525994.0,1739.0,138600.0,104.0,16807.0,119861785.0,27032130.0,0.235140986493748,-0.6394200766137186,4578164375.22058,303.0762910050597,0.399972811857224,411.283631399953,1523344.78006226,1970897.66256709
2016-01-21,1532403319.8355937,234.67576957689388,394362.0,15109075.0,172.777892176202,2156100598.2085752,3049997836.4416265,6183662403.26327,1.3494371602085855,0.025,0.03107372,4.86853010508298e+20,0.557637232394846,1262547.0,2461537.0,525579.0,1737.0,138511.0,104.0,16822.0,120133961.0,26729333.0,0.235123803738175,-0.6479843241071069,4582401156.27722,303.28800116997365,0.392482587082556,411.924494214259,1521869.61060188,1968918.57436357
