time,Volume,RSI,Put-call Ratio,Detrended Price Oscillator,ratio_mvrv,ratio_nvt,Value_M3,Value_CPI,Value_EFF,Value_SP500,Variation_UStotal,Value_USunem,tran_num,block_size,block_reward,trans_fees,US_bank_idx,balance-10,balance-10k,balance-100,percent-of-supply,unrealized-profit,log_return,HL_sprd,CO_sprd,vol_current,vol_future
2017-08-02,9.157638246244264,53.69647091945998,923.0,273.0504761904772,2.4710003104313296,7.5852951724897695,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,209169,133468687,1900.0000000000005,130.51485681,424.23,148795.0,111.0,18312.0,0.349466792641035,0.598024181365486,-0.010116913749664391,-3.2018258419316243,-0.010428257686676348,0.06778773895156948,0.07138223364257268
2017-08-03,8.982648743726756,56.398023439173365,1.008,351.2604761904768,2.522492231645819,11.97810752071686,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,212879,119901950,1725.0,124.10595421,421.01,148930.0,110.0,18336.0,0.349439859755963,0.604180170291803,0.03269782348947281,-3.247240546921568,0.03323827172823465,0.06797935184957404,0.07147226266702068
2017-08-04,8.763090491097362,58.199351357799024,1.002,402.91380952381,2.531704491757921,11.41079393932896,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,235613,165422429,2237.5,113.47123621,425.1,148865.0,111.0,18392.0,0.348362625897029,0.606007500922585,0.021823090876597284,-3.241816470422486,0.022073932997773223,0.06809831146913121,0.07221727657673274
2017-08-05,9.74074936964585,67.72111273015474,1.002,813.0242857142862,2.8254674935948114,11.72362884385767,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,239594,155977992,2212.5,113.56678695,425.1,148641.0,111.0,18382.0,0.346973687995383,0.646575782606213,0.133765165647743,-1.893455935227702,0.14472415038880945,0.07248690951375517,0.07286523714853865
2017-08-06,8.699304024096092,66.0992995291663,1.002,775.8642857142863,2.743849349656578,14.558461331161906,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,199487,110100761,1750.0,87.90639938,425.1,148416.0,116.0,18383.0,0.34492494582588,0.63616839424994,-0.012601976414639893,-3.06462541265609,-0.012489620071640723,0.07216613921252867,0.07273091091606301
2017-08-07,9.387494662566171,69.29271495694536,894.0,937.5242857142866,2.834317226986397,10.555144735813569,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,248849,144385767,1912.5,121.82649183,424.36,148071.0,119.0,18430.0,0.344741030324241,0.647373708761753,0.04987191390341472,-2.6306939999334262,0.053087248739422645,0.0726701066314159,0.07035448327487326
2017-08-08,9.670001337784392,69.7555445471542,927.0,949.2628571428576,2.8026494821295884,7.87728989249716,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,275410,160596624,2050.0,159.06311046,424.39,148006.0,115.0,18417.0,0.344091333038989,0.643374893856525,0.007311840292421934,-2.888149993358565,0.007341610726367774,0.07259783913100523,0.07048342086396056
2017-08-09,9.567094402464292,66.73089664817566,1.02,873.6290476190479,2.7087957701590235,9.215962327502655,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,260817,131674897,1725.0000000000002,157.95191308,422.22,148256.0,117.0,18375.0,0.343911497558035,0.63171152437691,-0.020553170428582845,-2.615896504202091,-0.019208088110172997,0.07138223364257268,0.06554024262014183
2017-08-10,9.10843181148296,68.22778627499497,934.0,932.236190476191,2.7566669883887074,7.423505358474995,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,257831,131491740,1675.0,193.18600285,413.75,148903.0,119.0,18335.0,0.343708625281712,0.638149992187931,0.02073484369849865,-3.2166164593972484,0.020951304072103244,0.07147226266702068,0.0653774077518193
2017-08-11,9.386591317693545,72.62245261996392,973.0,1138.9157142857148,2.907291158636532,6.043505936633004,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,283857,139272610,1799.9999999999998,234.94470226,410.85,148598.0,119.0,18394.0,0.343429872098819,0.656473030082541,0.06577236642366202,-2.45068471575738,0.06893255131964808,0.07221727657673274,0.06576981020750136
2017-08-12,9.421498355390192,75.87542685354715,973.0,1328.7166666666672,3.042060024858801,9.159123732831176,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,260386,132288529,1687.5,210.75240215,410.85,148373.0,120.0,18385.0,0.343417345634618,0.671644005643948,0.05602412078558139,-2.407683364212616,0.05568852108857699,0.07286523714853865,0.04864080216024514
2017-08-13,9.6734345476131,78.48120556875281,973.0,1512.4623809523814,3.140864744578429,8.609554787419865,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,263162,145531383,1850.0,189.71104645,410.85,148253.0,121.0,18379.0,0.343378511536739,0.682868562052938,0.050275033405347,-2.454391793325191,0.05157663733709635,0.07273091091606301,0.04669732459958595
2017-08-14,9.561863361868209,81.25023786666033,844.0,1743.232857142857,3.289277214327272,7.312719071613683,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,255232,124184159,1625.0000000000002,249.18827382,418.21,148500.0,121.0,18385.0,0.343060000455281,0.696184488017766,0.06039083093543418,-2.4693738468042308,0.062251626223830486,0.07035448327487326,0.04550561969559064
