time,Value_M3,Value_CPI,Value_EFF,Value_SP500,Value_USpce,Value_USreal,Variation_UStotal,Value_USunem
2022-02-01,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-02,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-03,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-04,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-05,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-06,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-07,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-08,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-09,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-10,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-11,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-12,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-13,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-14,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-15,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-16,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-17,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-18,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-19,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-20,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-21,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-22,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-23,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-24,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-25,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-26,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-27,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-02-28,0.0003899230041723989,0.052299149998937144,0.08,-3.14,6.39,,0.5959870207271042,3.8
2022-03-01,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
